,diff_0,diff_1,diff_2,target
236,55.0,55.0,64.0,64.0
237,55.0,64.0,64.0,67.0
238,64.0,64.0,67.0,71.0
239,64.0,67.0,71.0,75.0
240,67.0,71.0,75.0,71.0
241,71.0,75.0,71.0,71.0
242,75.0,71.0,71.0,73.0
243,71.0,71.0,73.0,70.0
244,71.0,73.0,70.0,68.0
245,73.0,70.0,68.0,67.0
246,70.0,68.0,67.0,69.0
247,68.0,67.0,69.0,66.0
248,67.0,69.0,66.0,101.0
249,74.0,54.0,42.0,40.0
250,54.0,42.0,40.0,35.0
251,42.0,40.0,35.0,35.0
252,40.0,35.0,35.0,35.0
253,35.0,35.0,35.0,35.0
254,35.0,35.0,35.0,35.0
255,35.0,35.0,35.0,39.0
256,35.0,35.0,39.0,37.0
257,35.0,39.0,37.0,37.0
258,39.0,37.0,37.0,37.0
259,37.0,37.0,37.0,59.0
260,37.0,37.0,59.0,64.0
261,37.0,59.0,64.0,67.0
262,59.0,64.0,67.0,71.0
263,64.0,67.0,71.0,82.0
264,67.0,71.0,82.0,84.0
265,71.0,82.0,84.0,98.0
266,82.0,84.0,98.0,101.0
267,81.0,97.0,98.0,93.0
268,97.0,98.0,93.0,86.0
269,98.0,93.0,86.0,95.0
270,93.0,86.0,95.0,95.0
271,86.0,95.0,95.0,101.0
272,33.0,33.0,46.0,64.0
273,33.0,46.0,64.0,78.0
274,46.0,64.0,78.0,92.0
275,64.0,78.0,92.0,101.0
276,35.0,70.0,91.0,100.0
277,70.0,91.0,100.0,101.0
278,97.0,88.0,85.0,83.0
279,88.0,85.0,83.0,84.0
280,85.0,83.0,84.0,81.0
281,83.0,84.0,81.0,72.0
282,84.0,81.0,72.0,44.0
283,81.0,72.0,44.0,54.0
284,72.0,44.0,54.0,55.0
285,44.0,54.0,55.0,51.0
286,54.0,55.0,51.0,48.0
287,55.0,51.0,48.0,45.0
288,51.0,48.0,45.0,43.0
289,48.0,45.0,43.0,40.0
290,45.0,43.0,40.0,36.0
291,43.0,40.0,36.0,36.0
292,40.0,36.0,36.0,34.0
293,36.0,36.0,34.0,39.0
294,36.0,34.0,39.0,46.0
295,34.0,39.0,46.0,101.0
296,40.0,37.0,33.0,31.0
297,37.0,33.0,31.0,36.0
298,33.0,31.0,36.0,37.0
299,31.0,36.0,37.0,42.0
300,36.0,37.0,42.0,52.0
301,37.0,42.0,52.0,61.0
302,42.0,52.0,61.0,81.0
303,52.0,61.0,81.0,87.0
304,61.0,81.0,87.0,96.0
305,81.0,87.0,96.0,101.0
306,93.0,68.0,43.0,101.0
307,81.0,65.0,43.0,101.0
308,33.0,42.0,56.0,70.0
309,42.0,56.0,70.0,90.0
310,56.0,70.0,90.0,101.0
311,82.0,80.0,78.0,78.0
312,80.0,78.0,78.0,75.0
313,78.0,78.0,75.0,78.0
314,78.0,75.0,78.0,72.0
315,75.0,78.0,72.0,72.0
316,78.0,72.0,72.0,78.0
317,72.0,72.0,78.0,82.0
318,72.0,78.0,82.0,93.0
319,78.0,82.0,93.0,101.0
320,95.0,89.0,89.0,96.0
321,89.0,89.0,96.0,100.0
322,89.0,96.0,100.0,101.0
323,93.0,87.0,87.0,78.0
324,87.0,87.0,78.0,77.0
325,87.0,78.0,77.0,71.0
326,78.0,77.0,71.0,64.0
327,77.0,71.0,64.0,70.0
328,71.0,64.0,70.0,69.0
329,64.0,70.0,69.0,67.0
330,70.0,69.0,67.0,60.0
331,69.0,67.0,60.0,57.0
332,67.0,60.0,57.0,62.0
333,60.0,57.0,62.0,63.0
334,57.0,62.0,63.0,60.0
335,62.0,63.0,60.0,64.0
336,63.0,60.0,64.0,63.0
337,60.0,64.0,63.0,65.0
338,64.0,63.0,65.0,70.0
339,63.0,65.0,70.0,71.0
340,65.0,70.0,71.0,101.0
341,48.0,46.0,44.0,54.0
342,46.0,44.0,54.0,75.0
343,44.0,54.0,75.0,84.0
344,54.0,75.0,84.0,96.0
345,75.0,84.0,96.0,101.0
