,diff_0,diff_1,diff_2,diff_3,target
336,39.0,35.0,34.0,43.0,53.0
337,35.0,34.0,43.0,53.0,50.0
338,34.0,43.0,53.0,50.0,47.0
339,43.0,53.0,50.0,47.0,101.0
340,74.0,42.0,24.0,16.0,13.0
341,42.0,24.0,16.0,13.0,9.0
342,24.0,16.0,13.0,9.0,6.0
343,16.0,13.0,9.0,6.0,5.0
344,13.0,9.0,6.0,5.0,3.0
345,9.0,6.0,5.0,3.0,3.0
346,6.0,5.0,3.0,3.0,2.0
347,5.0,3.0,3.0,2.0,2.0
348,3.0,3.0,2.0,2.0,2.0
349,3.0,2.0,2.0,2.0,2.0
350,2.0,2.0,2.0,2.0,2.0
351,2.0,2.0,2.0,2.0,2.0
352,2.0,2.0,2.0,2.0,2.0
353,2.0,2.0,2.0,2.0,4.0
354,2.0,2.0,2.0,4.0,5.0
355,2.0,2.0,4.0,5.0,6.0
356,2.0,4.0,5.0,6.0,7.0
357,4.0,5.0,6.0,7.0,9.0
358,5.0,6.0,7.0,9.0,11.0
359,6.0,7.0,9.0,11.0,11.0
360,7.0,9.0,11.0,11.0,11.0
361,9.0,11.0,11.0,11.0,19.0
362,11.0,11.0,11.0,19.0,21.0
363,11.0,11.0,19.0,21.0,25.0
364,11.0,19.0,21.0,25.0,30.0
365,19.0,21.0,25.0,30.0,34.0
366,21.0,25.0,30.0,34.0,32.0
367,25.0,30.0,34.0,32.0,34.0
368,30.0,34.0,32.0,34.0,32.0
369,34.0,32.0,34.0,32.0,36.0
370,32.0,34.0,32.0,36.0,42.0
371,34.0,32.0,36.0,42.0,44.0
372,32.0,36.0,42.0,44.0,43.0
373,36.0,42.0,44.0,43.0,44.0
374,42.0,44.0,43.0,44.0,50.0
375,44.0,43.0,44.0,50.0,101.0
376,93.0,90.0,86.0,87.0,100.0
377,90.0,86.0,87.0,100.0,101.0
378,68.0,35.0,19.0,16.0,10.0
379,35.0,19.0,16.0,10.0,7.0
380,19.0,16.0,10.0,7.0,6.0
381,16.0,10.0,7.0,6.0,5.0
382,10.0,7.0,6.0,5.0,5.0
383,7.0,6.0,5.0,5.0,7.0
384,6.0,5.0,5.0,7.0,7.0
385,5.0,5.0,7.0,7.0,9.0
386,5.0,7.0,7.0,9.0,14.0
387,7.0,7.0,9.0,14.0,23.0
388,7.0,9.0,14.0,23.0,29.0
389,9.0,14.0,23.0,29.0,39.0
390,14.0,23.0,29.0,39.0,42.0
391,23.0,29.0,39.0,42.0,45.0
392,29.0,39.0,42.0,45.0,46.0
393,39.0,42.0,45.0,46.0,50.0
394,42.0,45.0,46.0,50.0,50.0
395,45.0,46.0,50.0,50.0,101.0
396,97.0,83.0,81.0,93.0,91.0
397,83.0,81.0,93.0,91.0,98.0
398,81.0,93.0,91.0,98.0,91.0
399,93.0,91.0,98.0,91.0,100.0
400,91.0,98.0,91.0,100.0,101.0
401,92.0,75.0,75.0,79.0,77.0
402,75.0,75.0,79.0,77.0,77.0
403,75.0,79.0,77.0,77.0,73.0
404,79.0,77.0,77.0,73.0,71.0
405,77.0,77.0,73.0,71.0,73.0
406,77.0,73.0,71.0,73.0,76.0
407,73.0,71.0,73.0,76.0,81.0
408,71.0,73.0,76.0,81.0,86.0
409,73.0,76.0,81.0,86.0,87.0
410,76.0,81.0,86.0,87.0,93.0
411,81.0,86.0,87.0,93.0,101.0
412,70.0,61.0,55.0,52.0,46.0
413,61.0,55.0,52.0,46.0,45.0
414,55.0,52.0,46.0,45.0,34.0
415,52.0,46.0,45.0,34.0,36.0
416,46.0,45.0,34.0,36.0,36.0
417,45.0,34.0,36.0,36.0,35.0
418,34.0,36.0,36.0,35.0,35.0
419,36.0,36.0,35.0,35.0,35.0
420,36.0,35.0,35.0,35.0,35.0
421,35.0,35.0,35.0,35.0,33.0
422,35.0,35.0,35.0,33.0,28.0
423,35.0,35.0,33.0,28.0,31.0
424,35.0,33.0,28.0,31.0,32.0
425,33.0,28.0,31.0,32.0,35.0
426,28.0,31.0,32.0,35.0,37.0
427,31.0,32.0,35.0,37.0,41.0
428,32.0,35.0,37.0,41.0,47.0
429,35.0,37.0,41.0,47.0,49.0
430,37.0,41.0,47.0,49.0,101.0
431,89.0,79.0,67.0,57.0,47.0
432,79.0,67.0,57.0,47.0,43.0
433,67.0,57.0,47.0,43.0,36.0
434,57.0,47.0,43.0,36.0,35.0
435,47.0,43.0,36.0,35.0,36.0
436,43.0,36.0,35.0,36.0,36.0
437,36.0,35.0,36.0,36.0,32.0
438,35.0,36.0,36.0,32.0,28.0
439,36.0,36.0,32.0,28.0,28.0
440,36.0,32.0,28.0,28.0,25.0
441,32.0,28.0,28.0,25.0,21.0
442,28.0,28.0,25.0,21.0,18.0
443,28.0,25.0,21.0,18.0,18.0
444,25.0,21.0,18.0,18.0,14.0
445,21.0,18.0,18.0,14.0,13.0
446,18.0,18.0,14.0,13.0,11.0
447,18.0,14.0,13.0,11.0,11.0
448,14.0,13.0,11.0,11.0,12.0
449,13.0,11.0,11.0,12.0,12.0
450,11.0,11.0,12.0,12.0,12.0
451,11.0,12.0,12.0,12.0,13.0
452,12.0,12.0,12.0,13.0,15.0
453,12.0,12.0,13.0,15.0,15.0
454,12.0,13.0,15.0,15.0,15.0
455,13.0,15.0,15.0,15.0,15.0
456,15.0,15.0,15.0,15.0,16.0
457,15.0,15.0,15.0,16.0,19.0
458,15.0,15.0,16.0,19.0,21.0
459,15.0,16.0,19.0,21.0,26.0
460,16.0,19.0,21.0,26.0,22.0
461,19.0,21.0,26.0,22.0,26.0
462,21.0,26.0,22.0,26.0,29.0
463,26.0,22.0,26.0,29.0,29.0
464,22.0,26.0,29.0,29.0,33.0
465,26.0,29.0,29.0,33.0,34.0
466,29.0,29.0,33.0,34.0,38.0
467,29.0,33.0,34.0,38.0,46.0
468,33.0,34.0,38.0,46.0,44.0
469,34.0,38.0,46.0,44.0,48.0
470,38.0,46.0,44.0,48.0,47.0
471,46.0,44.0,48.0,47.0,50.0
472,44.0,48.0,47.0,50.0,101.0
473,70.0,66.0,59.0,85.0,101.0
474,91.0,85.0,85.0,66.0,59.0
475,85.0,85.0,66.0,59.0,55.0
476,85.0,66.0,59.0,55.0,54.0
477,66.0,59.0,55.0,54.0,41.0
478,59.0,55.0,54.0,41.0,44.0
479,55.0,54.0,41.0,44.0,29.0
480,54.0,41.0,44.0,29.0,36.0
481,41.0,44.0,29.0,36.0,27.0
482,44.0,29.0,36.0,27.0,43.0
483,29.0,36.0,27.0,43.0,59.0
484,36.0,27.0,43.0,59.0,67.0
485,27.0,43.0,59.0,67.0,78.0
486,43.0,59.0,67.0,78.0,101.0
487,69.0,58.0,52.0,42.0,34.0
488,58.0,52.0,42.0,34.0,31.0
489,52.0,42.0,34.0,31.0,28.0
490,42.0,34.0,31.0,28.0,28.0
491,34.0,31.0,28.0,28.0,23.0
492,31.0,28.0,28.0,23.0,23.0
493,28.0,28.0,23.0,23.0,23.0
494,28.0,23.0,23.0,23.0,23.0
495,23.0,23.0,23.0,23.0,28.0
496,23.0,23.0,23.0,28.0,26.0
497,23.0,23.0,28.0,26.0,27.0
498,23.0,28.0,26.0,27.0,25.0
499,28.0,26.0,27.0,25.0,33.0
500,26.0,27.0,25.0,33.0,38.0
501,27.0,25.0,33.0,38.0,41.0
502,25.0,33.0,38.0,41.0,46.0
503,33.0,38.0,41.0,46.0,101.0
504,20.0,18.0,16.0,16.0,13.0
505,18.0,16.0,16.0,13.0,13.0
506,16.0,16.0,13.0,13.0,13.0
507,16.0,13.0,13.0,13.0,12.0
508,13.0,13.0,13.0,12.0,17.0
509,13.0,13.0,12.0,17.0,17.0
510,13.0,12.0,17.0,17.0,18.0
511,12.0,17.0,17.0,18.0,17.0
512,17.0,17.0,18.0,17.0,21.0
513,17.0,18.0,17.0,21.0,25.0
514,18.0,17.0,21.0,25.0,26.0
515,17.0,21.0,25.0,26.0,28.0
516,21.0,25.0,26.0,28.0,34.0
517,25.0,26.0,28.0,34.0,35.0
518,26.0,28.0,34.0,35.0,40.0
519,28.0,34.0,35.0,40.0,46.0
520,34.0,35.0,40.0,46.0,46.0
521,35.0,40.0,46.0,46.0,47.0
522,40.0,46.0,46.0,47.0,101.0
523,72.0,61.0,53.0,48.0,48.0
524,61.0,53.0,48.0,48.0,41.0
525,53.0,48.0,48.0,41.0,34.0
526,48.0,48.0,41.0,34.0,28.0
527,48.0,41.0,34.0,28.0,25.0
528,41.0,34.0,28.0,25.0,23.0
529,34.0,28.0,25.0,23.0,29.0
530,28.0,25.0,23.0,29.0,29.0
531,25.0,23.0,29.0,29.0,36.0
532,23.0,29.0,29.0,36.0,46.0
533,29.0,29.0,36.0,46.0,55.0
534,29.0,36.0,46.0,55.0,64.0
535,36.0,46.0,55.0,64.0,68.0
536,46.0,55.0,64.0,68.0,66.0
537,55.0,64.0,68.0,66.0,67.0
538,64.0,68.0,66.0,67.0,75.0
539,68.0,66.0,67.0,75.0,101.0
540,53.0,17.0,14.0,14.0,14.0
541,17.0,14.0,14.0,14.0,20.0
542,14.0,14.0,14.0,20.0,23.0
543,14.0,14.0,20.0,23.0,21.0
544,14.0,20.0,23.0,21.0,26.0
545,20.0,23.0,21.0,26.0,30.0
546,23.0,21.0,26.0,30.0,35.0
547,21.0,26.0,30.0,35.0,47.0
548,26.0,30.0,35.0,47.0,65.0
549,30.0,35.0,47.0,65.0,66.0
550,35.0,47.0,65.0,66.0,74.0
551,47.0,65.0,66.0,74.0,86.0
552,65.0,66.0,74.0,86.0,96.0
553,66.0,74.0,86.0,96.0,99.0
554,74.0,86.0,96.0,99.0,96.0
555,86.0,96.0,99.0,96.0,97.0
556,96.0,99.0,96.0,97.0,101.0
557,97.0,90.0,82.0,87.0,96.0
558,90.0,82.0,87.0,96.0,101.0
559,6.0,5.0,5.0,4.0,5.0
560,5.0,5.0,4.0,5.0,7.0
561,5.0,4.0,5.0,7.0,8.0
562,4.0,5.0,7.0,8.0,8.0
563,5.0,7.0,8.0,8.0,10.0
564,7.0,8.0,8.0,10.0,11.0
565,8.0,8.0,10.0,11.0,13.0
566,8.0,10.0,11.0,13.0,15.0
567,10.0,11.0,13.0,15.0,23.0
568,11.0,13.0,15.0,23.0,26.0
569,13.0,15.0,23.0,26.0,28.0
570,15.0,23.0,26.0,28.0,30.0
571,23.0,26.0,28.0,30.0,33.0
572,26.0,28.0,30.0,33.0,39.0
573,28.0,30.0,33.0,39.0,45.0
574,30.0,33.0,39.0,45.0,45.0
575,33.0,39.0,45.0,45.0,46.0
576,39.0,45.0,45.0,46.0,46.0
577,45.0,45.0,46.0,46.0,44.0
578,45.0,46.0,46.0,44.0,49.0
579,46.0,46.0,44.0,49.0,101.0
580,61.0,59.0,36.0,19.0,17.0
581,59.0,36.0,19.0,17.0,11.0
582,36.0,19.0,17.0,11.0,9.0
583,19.0,17.0,11.0,9.0,9.0
584,17.0,11.0,9.0,9.0,8.0
585,11.0,9.0,9.0,8.0,5.0
586,9.0,9.0,8.0,5.0,11.0
587,9.0,8.0,5.0,11.0,11.0
588,8.0,5.0,11.0,11.0,13.0
589,5.0,11.0,11.0,13.0,14.0
590,11.0,11.0,13.0,14.0,15.0
591,11.0,13.0,14.0,15.0,17.0
592,13.0,14.0,15.0,17.0,22.0
593,14.0,15.0,17.0,22.0,29.0
594,15.0,17.0,22.0,29.0,37.0
595,17.0,22.0,29.0,37.0,46.0
596,22.0,29.0,37.0,46.0,101.0
597,94.0,87.0,71.0,63.0,43.0
598,87.0,71.0,63.0,43.0,35.0
599,71.0,63.0,43.0,35.0,33.0
600,63.0,43.0,35.0,33.0,30.0
601,43.0,35.0,33.0,30.0,31.0
602,35.0,33.0,30.0,31.0,29.0
603,33.0,30.0,31.0,29.0,29.0
604,30.0,31.0,29.0,29.0,34.0
605,31.0,29.0,29.0,34.0,34.0
606,29.0,29.0,34.0,34.0,33.0
607,29.0,34.0,34.0,33.0,35.0
608,34.0,34.0,33.0,35.0,37.0
609,34.0,33.0,35.0,37.0,37.0
610,33.0,35.0,37.0,37.0,24.0
611,35.0,37.0,37.0,24.0,27.0
612,37.0,37.0,24.0,27.0,32.0
613,37.0,24.0,27.0,32.0,41.0
614,24.0,27.0,32.0,41.0,101.0
615,82.0,76.0,76.0,66.0,62.0
616,76.0,76.0,66.0,62.0,62.0
617,76.0,66.0,62.0,62.0,83.0
618,66.0,62.0,62.0,83.0,82.0
619,62.0,62.0,83.0,82.0,81.0
620,62.0,83.0,82.0,81.0,97.0
621,83.0,82.0,81.0,97.0,98.0
622,82.0,81.0,97.0,98.0,95.0
623,81.0,97.0,98.0,95.0,100.0
624,97.0,98.0,95.0,100.0,101.0
625,55.0,37.0,26.0,26.0,25.0
626,37.0,26.0,26.0,25.0,26.0
627,26.0,26.0,25.0,26.0,24.0
628,26.0,25.0,26.0,24.0,27.0
629,25.0,26.0,24.0,27.0,27.0
630,26.0,24.0,27.0,27.0,29.0
