,diff_0,diff_1,target
94495,4.0,4.0,3.0
94496,4.0,3.0,4.0
94497,3.0,4.0,5.0
94498,4.0,5.0,6.0
94499,5.0,6.0,10.0
94500,6.0,10.0,22.0
94501,10.0,22.0,25.0
94502,22.0,25.0,31.0
94503,25.0,31.0,43.0
94504,31.0,43.0,101.0
94505,93.0,91.0,88.0
94506,91.0,88.0,93.0
94507,88.0,93.0,101.0
94508,12.0,25.0,50.0
94509,25.0,50.0,55.0
94510,50.0,55.0,71.0
94511,55.0,71.0,82.0
94512,71.0,82.0,101.0
94513,87.0,85.0,73.0
94514,85.0,73.0,71.0
94515,73.0,71.0,64.0
94516,71.0,64.0,63.0
94517,64.0,63.0,58.0
94518,63.0,58.0,63.0
94519,58.0,63.0,66.0
94520,63.0,66.0,66.0
94521,66.0,66.0,79.0
94522,66.0,79.0,89.0
94523,79.0,89.0,101.0
94524,28.0,15.0,20.0
94525,15.0,20.0,30.0
94526,20.0,30.0,29.0
94527,30.0,29.0,26.0
94528,29.0,26.0,24.0
94529,26.0,24.0,20.0
94530,24.0,20.0,16.0
94531,20.0,16.0,8.0
94532,16.0,8.0,7.0
94533,8.0,7.0,8.0
94534,7.0,8.0,11.0
94535,8.0,11.0,12.0
94536,11.0,12.0,14.0
94537,12.0,14.0,15.0
94538,14.0,15.0,16.0
94539,15.0,16.0,16.0
94540,16.0,16.0,14.0
94541,16.0,14.0,9.0
94542,14.0,9.0,9.0
94543,9.0,9.0,10.0
94544,9.0,10.0,15.0
94545,10.0,15.0,20.0
94546,15.0,20.0,23.0
94547,20.0,23.0,25.0
94548,23.0,25.0,31.0
94549,25.0,31.0,25.0
94550,31.0,25.0,24.0
94551,25.0,24.0,25.0
94552,24.0,25.0,27.0
94553,25.0,27.0,29.0
94554,27.0,29.0,31.0
94555,29.0,31.0,33.0
94556,31.0,33.0,37.0
94557,33.0,37.0,38.0
94558,37.0,38.0,37.0
94559,38.0,37.0,41.0
94560,37.0,41.0,46.0
94561,41.0,46.0,101.0
94562,64.0,60.0,47.0
94563,60.0,47.0,52.0
94564,47.0,52.0,50.0
94565,52.0,50.0,46.0
94566,50.0,46.0,38.0
94567,46.0,38.0,37.0
94568,38.0,37.0,36.0
94569,37.0,36.0,38.0
94570,36.0,38.0,43.0
94571,38.0,43.0,47.0
94572,43.0,47.0,51.0
94573,47.0,51.0,51.0
94574,51.0,51.0,55.0
