,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
291,4.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0
292,3.0,1.0,1.0,2.0,2.0,4.0,5.0,8.0
293,1.0,1.0,2.0,2.0,4.0,5.0,8.0,11.0
294,1.0,2.0,2.0,4.0,5.0,8.0,11.0,13.0
295,2.0,2.0,4.0,5.0,8.0,11.0,13.0,14.0
296,2.0,4.0,5.0,8.0,11.0,13.0,14.0,17.0
297,4.0,5.0,8.0,11.0,13.0,14.0,17.0,19.0
298,5.0,8.0,11.0,13.0,14.0,17.0,19.0,20.0
299,8.0,11.0,13.0,14.0,17.0,19.0,20.0,21.0
300,11.0,13.0,14.0,17.0,19.0,20.0,21.0,18.0
301,13.0,14.0,17.0,19.0,20.0,21.0,18.0,24.0
302,14.0,17.0,19.0,20.0,21.0,18.0,24.0,29.0
303,17.0,19.0,20.0,21.0,18.0,24.0,29.0,31.0
304,19.0,20.0,21.0,18.0,24.0,29.0,31.0,38.0
305,20.0,21.0,18.0,24.0,29.0,31.0,38.0,46.0
306,21.0,18.0,24.0,29.0,31.0,38.0,46.0,46.0
307,18.0,24.0,29.0,31.0,38.0,46.0,46.0,49.0
308,24.0,29.0,31.0,38.0,46.0,46.0,49.0,101.0
309,63.0,62.0,58.0,53.0,53.0,44.0,35.0,35.0
310,62.0,58.0,53.0,53.0,44.0,35.0,35.0,35.0
311,58.0,53.0,53.0,44.0,35.0,35.0,35.0,35.0
312,53.0,53.0,44.0,35.0,35.0,35.0,35.0,38.0
313,53.0,44.0,35.0,35.0,35.0,35.0,38.0,37.0
314,44.0,35.0,35.0,35.0,35.0,38.0,37.0,36.0
315,35.0,35.0,35.0,35.0,38.0,37.0,36.0,41.0
316,35.0,35.0,35.0,38.0,37.0,36.0,41.0,44.0
317,35.0,35.0,38.0,37.0,36.0,41.0,44.0,52.0
318,35.0,38.0,37.0,36.0,41.0,44.0,52.0,53.0
319,38.0,37.0,36.0,41.0,44.0,52.0,53.0,59.0
320,37.0,36.0,41.0,44.0,52.0,53.0,59.0,63.0
321,36.0,41.0,44.0,52.0,53.0,59.0,63.0,64.0
322,41.0,44.0,52.0,53.0,59.0,63.0,64.0,101.0
323,61.0,28.0,8.0,27.0,51.0,76.0,82.0,86.0
324,28.0,8.0,27.0,51.0,76.0,82.0,86.0,83.0
325,8.0,27.0,51.0,76.0,82.0,86.0,83.0,85.0
326,27.0,51.0,76.0,82.0,86.0,83.0,85.0,96.0
327,51.0,76.0,82.0,86.0,83.0,85.0,96.0,101.0
328,91.0,62.0,52.0,51.0,51.0,52.0,47.0,49.0
329,62.0,52.0,51.0,51.0,52.0,47.0,49.0,46.0
330,52.0,51.0,51.0,52.0,47.0,49.0,46.0,42.0
331,51.0,51.0,52.0,47.0,49.0,46.0,42.0,41.0
332,51.0,52.0,47.0,49.0,46.0,42.0,41.0,35.0
333,52.0,47.0,49.0,46.0,42.0,41.0,35.0,36.0
334,47.0,49.0,46.0,42.0,41.0,35.0,36.0,39.0
335,49.0,46.0,42.0,41.0,35.0,36.0,39.0,35.0
336,46.0,42.0,41.0,35.0,36.0,39.0,35.0,34.0
337,42.0,41.0,35.0,36.0,39.0,35.0,34.0,43.0
338,41.0,35.0,36.0,39.0,35.0,34.0,43.0,53.0
339,35.0,36.0,39.0,35.0,34.0,43.0,53.0,50.0
340,36.0,39.0,35.0,34.0,43.0,53.0,50.0,47.0
341,39.0,35.0,34.0,43.0,53.0,50.0,47.0,101.0
342,74.0,42.0,24.0,16.0,13.0,9.0,6.0,5.0
343,42.0,24.0,16.0,13.0,9.0,6.0,5.0,3.0
344,24.0,16.0,13.0,9.0,6.0,5.0,3.0,3.0
345,16.0,13.0,9.0,6.0,5.0,3.0,3.0,2.0
346,13.0,9.0,6.0,5.0,3.0,3.0,2.0,2.0
347,9.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0
348,6.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0
