,diff_0,diff_1,target
957,79.0,83.0,83.0
958,83.0,83.0,76.0
959,83.0,76.0,82.0
960,76.0,82.0,59.0
961,82.0,59.0,62.0
962,59.0,62.0,67.0
963,62.0,67.0,61.0
964,67.0,61.0,64.0
965,61.0,64.0,59.0
966,64.0,59.0,62.0
967,59.0,62.0,59.0
968,62.0,59.0,54.0
969,96.0,96.0,88.0
970,88.0,94.0,79.0
971,94.0,79.0,66.0
972,79.0,66.0,78.0
973,66.0,78.0,91.0
974,78.0,91.0,94.0
975,91.0,94.0,101.0
976,44.0,38.0,30.0
977,38.0,30.0,101.0
978,29.0,26.0,20.0
979,26.0,20.0,22.0
980,20.0,22.0,13.0
981,22.0,13.0,11.0
982,13.0,11.0,8.0
983,11.0,8.0,6.0
984,8.0,6.0,9.0
985,6.0,9.0,9.0
986,9.0,9.0,9.0
987,9.0,9.0,10.0
988,9.0,10.0,13.0
989,10.0,13.0,14.0
990,13.0,14.0,17.0
991,14.0,17.0,16.0
992,17.0,16.0,20.0
993,9.0,6.0,6.0
994,6.0,6.0,7.0
