,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
203,14.0,17.0,19.0,20.0,21.0,18.0,24.0,29.0,31.0,38.0
204,17.0,19.0,20.0,21.0,18.0,24.0,29.0,31.0,38.0,46.0
205,19.0,20.0,21.0,18.0,24.0,29.0,31.0,38.0,46.0,46.0
206,20.0,21.0,18.0,24.0,29.0,31.0,38.0,46.0,46.0,49.0
207,21.0,18.0,24.0,29.0,31.0,38.0,46.0,46.0,49.0,101.0
208,61.0,28.0,8.0,27.0,51.0,76.0,82.0,86.0,83.0,85.0
209,28.0,8.0,27.0,51.0,76.0,82.0,86.0,83.0,85.0,96.0
210,8.0,27.0,51.0,76.0,82.0,86.0,83.0,85.0,96.0,101.0
211,91.0,62.0,52.0,51.0,51.0,52.0,47.0,49.0,46.0,42.0
212,62.0,52.0,51.0,51.0,52.0,47.0,49.0,46.0,42.0,41.0
213,52.0,51.0,51.0,52.0,47.0,49.0,46.0,42.0,41.0,35.0
214,51.0,51.0,52.0,47.0,49.0,46.0,42.0,41.0,35.0,36.0
215,51.0,52.0,47.0,49.0,46.0,42.0,41.0,35.0,36.0,39.0
216,52.0,47.0,49.0,46.0,42.0,41.0,35.0,36.0,39.0,35.0
217,47.0,49.0,46.0,42.0,41.0,35.0,36.0,39.0,35.0,34.0
218,49.0,46.0,42.0,41.0,35.0,36.0,39.0,35.0,34.0,43.0
219,46.0,42.0,41.0,35.0,36.0,39.0,35.0,34.0,43.0,53.0
220,42.0,41.0,35.0,36.0,39.0,35.0,34.0,43.0,53.0,50.0
221,41.0,35.0,36.0,39.0,35.0,34.0,43.0,53.0,50.0,47.0
222,35.0,36.0,39.0,35.0,34.0,43.0,53.0,50.0,47.0,101.0
223,74.0,42.0,24.0,16.0,13.0,9.0,6.0,5.0,3.0,3.0
224,42.0,24.0,16.0,13.0,9.0,6.0,5.0,3.0,3.0,2.0
225,24.0,16.0,13.0,9.0,6.0,5.0,3.0,3.0,2.0,2.0
226,16.0,13.0,9.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0
227,13.0,9.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0
228,9.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
229,6.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
230,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
231,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
232,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0
233,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,6.0
234,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,6.0,7.0
235,2.0,2.0,2.0,2.0,2.0,4.0,5.0,6.0,7.0,9.0
236,2.0,2.0,2.0,2.0,4.0,5.0,6.0,7.0,9.0,11.0
237,2.0,2.0,2.0,4.0,5.0,6.0,7.0,9.0,11.0,11.0
238,2.0,2.0,4.0,5.0,6.0,7.0,9.0,11.0,11.0,11.0
239,2.0,4.0,5.0,6.0,7.0,9.0,11.0,11.0,11.0,19.0
240,4.0,5.0,6.0,7.0,9.0,11.0,11.0,11.0,19.0,21.0
241,5.0,6.0,7.0,9.0,11.0,11.0,11.0,19.0,21.0,25.0
242,6.0,7.0,9.0,11.0,11.0,11.0,19.0,21.0,25.0,30.0
243,7.0,9.0,11.0,11.0,11.0,19.0,21.0,25.0,30.0,34.0
244,9.0,11.0,11.0,11.0,19.0,21.0,25.0,30.0,34.0,32.0
245,11.0,11.0,11.0,19.0,21.0,25.0,30.0,34.0,32.0,34.0
246,11.0,11.0,19.0,21.0,25.0,30.0,34.0,32.0,34.0,32.0
247,11.0,19.0,21.0,25.0,30.0,34.0,32.0,34.0,32.0,36.0
248,19.0,21.0,25.0,30.0,34.0,32.0,34.0,32.0,36.0,42.0
249,21.0,25.0,30.0,34.0,32.0,34.0,32.0,36.0,42.0,44.0
250,25.0,30.0,34.0,32.0,34.0,32.0,36.0,42.0,44.0,43.0
251,30.0,34.0,32.0,34.0,32.0,36.0,42.0,44.0,43.0,44.0
252,34.0,32.0,34.0,32.0,36.0,42.0,44.0,43.0,44.0,50.0
253,32.0,34.0,32.0,36.0,42.0,44.0,43.0,44.0,50.0,101.0
254,68.0,35.0,19.0,16.0,10.0,7.0,6.0,5.0,5.0,7.0
255,35.0,19.0,16.0,10.0,7.0,6.0,5.0,5.0,7.0,7.0
256,19.0,16.0,10.0,7.0,6.0,5.0,5.0,7.0,7.0,9.0
257,16.0,10.0,7.0,6.0,5.0,5.0,7.0,7.0,9.0,14.0
258,10.0,7.0,6.0,5.0,5.0,7.0,7.0,9.0,14.0,23.0
259,7.0,6.0,5.0,5.0,7.0,7.0,9.0,14.0,23.0,29.0
260,6.0,5.0,5.0,7.0,7.0,9.0,14.0,23.0,29.0,39.0
261,5.0,5.0,7.0,7.0,9.0,14.0,23.0,29.0,39.0,42.0
262,5.0,7.0,7.0,9.0,14.0,23.0,29.0,39.0,42.0,45.0
263,7.0,7.0,9.0,14.0,23.0,29.0,39.0,42.0,45.0,46.0
264,7.0,9.0,14.0,23.0,29.0,39.0,42.0,45.0,46.0,50.0
265,9.0,14.0,23.0,29.0,39.0,42.0,45.0,46.0,50.0,50.0
266,14.0,23.0,29.0,39.0,42.0,45.0,46.0,50.0,50.0,101.0
267,92.0,75.0,75.0,79.0,77.0,77.0,73.0,71.0,73.0,76.0
268,75.0,75.0,79.0,77.0,77.0,73.0,71.0,73.0,76.0,81.0
269,75.0,79.0,77.0,77.0,73.0,71.0,73.0,76.0,81.0,86.0
270,79.0,77.0,77.0,73.0,71.0,73.0,76.0,81.0,86.0,87.0
271,77.0,77.0,73.0,71.0,73.0,76.0,81.0,86.0,87.0,93.0
272,77.0,73.0,71.0,73.0,76.0,81.0,86.0,87.0,93.0,101.0
273,70.0,61.0,55.0,52.0,46.0,45.0,34.0,36.0,36.0,35.0
