,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
202,40.0,34.0,33.0,31.0,30.0,30.0,38.0,44.0,52.0,56.0
203,34.0,33.0,31.0,30.0,30.0,38.0,44.0,52.0,56.0,62.0
204,33.0,31.0,30.0,30.0,38.0,44.0,52.0,56.0,62.0,82.0
205,31.0,30.0,30.0,38.0,44.0,52.0,56.0,62.0,82.0,101.0
206,34.0,29.0,24.0,23.0,16.0,14.0,10.0,14.0,17.0,18.0
207,29.0,24.0,23.0,16.0,14.0,10.0,14.0,17.0,18.0,23.0
208,24.0,23.0,16.0,14.0,10.0,14.0,17.0,18.0,23.0,36.0
209,23.0,16.0,14.0,10.0,14.0,17.0,18.0,23.0,36.0,53.0
210,16.0,14.0,10.0,14.0,17.0,18.0,23.0,36.0,53.0,76.0
211,14.0,10.0,14.0,17.0,18.0,23.0,36.0,53.0,76.0,89.0
212,10.0,14.0,17.0,18.0,23.0,36.0,53.0,76.0,89.0,73.0
213,14.0,17.0,18.0,23.0,36.0,53.0,76.0,89.0,73.0,87.0
214,17.0,18.0,23.0,36.0,53.0,76.0,89.0,73.0,87.0,99.0
215,18.0,23.0,36.0,53.0,76.0,89.0,73.0,87.0,99.0,101.0
216,27.0,39.0,69.0,83.0,87.0,84.0,71.0,39.0,55.0,59.0
217,39.0,69.0,83.0,87.0,84.0,71.0,39.0,55.0,59.0,68.0
218,69.0,83.0,87.0,84.0,71.0,39.0,55.0,59.0,68.0,77.0
219,83.0,87.0,84.0,71.0,39.0,55.0,59.0,68.0,77.0,88.0
220,87.0,84.0,71.0,39.0,55.0,59.0,68.0,77.0,88.0,86.0
221,84.0,71.0,39.0,55.0,59.0,68.0,77.0,88.0,86.0,90.0
222,71.0,39.0,55.0,59.0,68.0,77.0,88.0,86.0,90.0,99.0
223,39.0,55.0,59.0,68.0,77.0,88.0,86.0,90.0,99.0,97.0
224,55.0,59.0,68.0,77.0,88.0,86.0,90.0,99.0,97.0,95.0
225,59.0,68.0,77.0,88.0,86.0,90.0,99.0,97.0,95.0,92.0
226,68.0,77.0,88.0,86.0,90.0,99.0,97.0,95.0,92.0,98.0
227,77.0,88.0,86.0,90.0,99.0,97.0,95.0,92.0,98.0,101.0
228,82.0,87.0,84.0,87.0,81.0,85.0,76.0,77.0,83.0,101.0
229,41.0,67.0,75.0,89.0,75.0,81.0,88.0,93.0,100.0,100.0
230,67.0,75.0,89.0,75.0,81.0,88.0,93.0,100.0,100.0,97.0
231,75.0,89.0,75.0,81.0,88.0,93.0,100.0,100.0,97.0,101.0
232,17.0,14.0,18.0,9.0,8.0,5.0,4.0,4.0,4.0,3.0
233,14.0,18.0,9.0,8.0,5.0,4.0,4.0,4.0,3.0,1.0
234,18.0,9.0,8.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0
235,9.0,8.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0
236,8.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0
237,5.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0
238,4.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0
239,4.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0,8.0
240,4.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0,8.0,11.0
241,3.0,1.0,1.0,2.0,2.0,4.0,5.0,8.0,11.0,13.0
242,1.0,1.0,2.0,2.0,4.0,5.0,8.0,11.0,13.0,14.0
243,1.0,2.0,2.0,4.0,5.0,8.0,11.0,13.0,14.0,17.0
244,2.0,2.0,4.0,5.0,8.0,11.0,13.0,14.0,17.0,19.0
245,2.0,4.0,5.0,8.0,11.0,13.0,14.0,17.0,19.0,20.0
246,4.0,5.0,8.0,11.0,13.0,14.0,17.0,19.0,20.0,21.0
247,5.0,8.0,11.0,13.0,14.0,17.0,19.0,20.0,21.0,18.0
248,8.0,11.0,13.0,14.0,17.0,19.0,20.0,21.0,18.0,24.0
249,11.0,13.0,14.0,17.0,19.0,20.0,21.0,18.0,24.0,29.0
250,13.0,14.0,17.0,19.0,20.0,21.0,18.0,24.0,29.0,31.0
251,14.0,17.0,19.0,20.0,21.0,18.0,24.0,29.0,31.0,38.0
252,17.0,19.0,20.0,21.0,18.0,24.0,29.0,31.0,38.0,46.0
253,19.0,20.0,21.0,18.0,24.0,29.0,31.0,38.0,46.0,46.0
254,20.0,21.0,18.0,24.0,29.0,31.0,38.0,46.0,46.0,49.0
255,21.0,18.0,24.0,29.0,31.0,38.0,46.0,46.0,49.0,101.0
256,63.0,62.0,58.0,53.0,53.0,44.0,35.0,35.0,35.0,35.0
257,62.0,58.0,53.0,53.0,44.0,35.0,35.0,35.0,35.0,38.0
258,58.0,53.0,53.0,44.0,35.0,35.0,35.0,35.0,38.0,37.0
259,53.0,53.0,44.0,35.0,35.0,35.0,35.0,38.0,37.0,36.0
260,53.0,44.0,35.0,35.0,35.0,35.0,38.0,37.0,36.0,41.0
261,44.0,35.0,35.0,35.0,35.0,38.0,37.0,36.0,41.0,44.0
262,35.0,35.0,35.0,35.0,38.0,37.0,36.0,41.0,44.0,52.0
263,35.0,35.0,35.0,38.0,37.0,36.0,41.0,44.0,52.0,53.0
264,35.0,35.0,38.0,37.0,36.0,41.0,44.0,52.0,53.0,59.0
265,35.0,38.0,37.0,36.0,41.0,44.0,52.0,53.0,59.0,63.0
