,diff_0,diff_1,diff_2,target
743,37.0,36.0,40.0,43.0
744,36.0,40.0,43.0,40.0
745,40.0,43.0,40.0,43.0
746,43.0,40.0,43.0,41.0
747,40.0,43.0,41.0,42.0
748,43.0,41.0,42.0,47.0
749,41.0,42.0,47.0,101.0
750,11.0,12.0,6.0,3.0
751,97.0,97.0,80.0,76.0
752,97.0,80.0,76.0,77.0
753,80.0,76.0,77.0,76.0
754,76.0,77.0,76.0,73.0
755,77.0,76.0,73.0,70.0
756,76.0,73.0,70.0,74.0
757,73.0,70.0,74.0,78.0
758,70.0,74.0,78.0,81.0
759,74.0,78.0,81.0,82.0
760,78.0,81.0,82.0,81.0
761,13.0,14.0,17.0,16.0
762,14.0,17.0,16.0,15.0
763,17.0,16.0,15.0,21.0
764,16.0,15.0,21.0,27.0
765,15.0,21.0,27.0,32.0
766,21.0,27.0,32.0,34.0
767,27.0,32.0,34.0,41.0
768,32.0,34.0,41.0,48.0
769,34.0,41.0,48.0,101.0
770,75.0,60.0,57.0,36.0
771,60.0,57.0,36.0,37.0
772,57.0,36.0,37.0,34.0
773,36.0,37.0,34.0,26.0
774,37.0,34.0,26.0,22.0
775,34.0,26.0,22.0,17.0
776,26.0,22.0,17.0,15.0
777,22.0,17.0,15.0,12.0
778,17.0,15.0,12.0,14.0
779,15.0,12.0,14.0,16.0
780,12.0,14.0,16.0,15.0
781,14.0,16.0,15.0,14.0
782,16.0,15.0,14.0,14.0
783,15.0,14.0,14.0,16.0
784,81.0,64.0,55.0,53.0
785,64.0,55.0,53.0,53.0
786,55.0,53.0,53.0,48.0
787,53.0,53.0,48.0,45.0
788,53.0,48.0,45.0,28.0
789,48.0,45.0,28.0,27.0
790,45.0,28.0,27.0,33.0
791,28.0,27.0,33.0,27.0
792,27.0,33.0,27.0,24.0
793,33.0,27.0,24.0,21.0
794,46.0,55.0,50.0,44.0
795,55.0,50.0,44.0,49.0
796,50.0,44.0,49.0,51.0
797,44.0,49.0,51.0,53.0
798,49.0,51.0,53.0,77.0
799,51.0,53.0,77.0,101.0
800,96.0,94.0,72.0,33.0
801,94.0,72.0,33.0,21.0
802,72.0,33.0,21.0,14.0
803,32.0,32.0,31.0,26.0
804,32.0,31.0,26.0,28.0
805,31.0,26.0,28.0,35.0
806,26.0,28.0,35.0,38.0
807,28.0,35.0,38.0,43.0
808,35.0,38.0,43.0,54.0
809,38.0,43.0,54.0,63.0
810,43.0,54.0,63.0,72.0
811,54.0,63.0,72.0,79.0
812,63.0,72.0,79.0,87.0
813,72.0,79.0,87.0,101.0
814,8.0,20.0,70.0,78.0
815,20.0,70.0,78.0,82.0
816,1.0,7.0,6.0,6.0
817,7.0,6.0,6.0,6.0
818,6.0,6.0,6.0,6.0
819,6.0,6.0,6.0,6.0
820,6.0,6.0,6.0,8.0
821,6.0,6.0,8.0,4.0
822,92.0,93.0,93.0,100.0
823,93.0,93.0,100.0,89.0
824,93.0,100.0,89.0,89.0
825,100.0,89.0,89.0,91.0
826,89.0,89.0,91.0,92.0
827,89.0,91.0,92.0,100.0
