,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
276,2.0,2.0,2.0,2.0,4.0,5.0,6.0,7.0
277,2.0,2.0,2.0,4.0,5.0,6.0,7.0,9.0
278,2.0,2.0,4.0,5.0,6.0,7.0,9.0,11.0
279,2.0,4.0,5.0,6.0,7.0,9.0,11.0,11.0
280,4.0,5.0,6.0,7.0,9.0,11.0,11.0,11.0
281,5.0,6.0,7.0,9.0,11.0,11.0,11.0,19.0
282,6.0,7.0,9.0,11.0,11.0,11.0,19.0,21.0
283,7.0,9.0,11.0,11.0,11.0,19.0,21.0,25.0
284,9.0,11.0,11.0,11.0,19.0,21.0,25.0,30.0
285,11.0,11.0,11.0,19.0,21.0,25.0,30.0,34.0
286,11.0,11.0,19.0,21.0,25.0,30.0,34.0,32.0
287,11.0,19.0,21.0,25.0,30.0,34.0,32.0,34.0
288,19.0,21.0,25.0,30.0,34.0,32.0,34.0,32.0
289,21.0,25.0,30.0,34.0,32.0,34.0,32.0,36.0
290,25.0,30.0,34.0,32.0,34.0,32.0,36.0,42.0
291,30.0,34.0,32.0,34.0,32.0,36.0,42.0,44.0
292,34.0,32.0,34.0,32.0,36.0,42.0,44.0,43.0
293,32.0,34.0,32.0,36.0,42.0,44.0,43.0,44.0
294,34.0,32.0,36.0,42.0,44.0,43.0,44.0,50.0
295,32.0,36.0,42.0,44.0,43.0,44.0,50.0,101.0
296,68.0,35.0,19.0,16.0,10.0,7.0,6.0,5.0
297,35.0,19.0,16.0,10.0,7.0,6.0,5.0,5.0
298,19.0,16.0,10.0,7.0,6.0,5.0,5.0,7.0
299,16.0,10.0,7.0,6.0,5.0,5.0,7.0,7.0
300,10.0,7.0,6.0,5.0,5.0,7.0,7.0,9.0
301,7.0,6.0,5.0,5.0,7.0,7.0,9.0,14.0
302,6.0,5.0,5.0,7.0,7.0,9.0,14.0,23.0
303,5.0,5.0,7.0,7.0,9.0,14.0,23.0,29.0
304,5.0,7.0,7.0,9.0,14.0,23.0,29.0,39.0
305,7.0,7.0,9.0,14.0,23.0,29.0,39.0,42.0
306,7.0,9.0,14.0,23.0,29.0,39.0,42.0,45.0
307,9.0,14.0,23.0,29.0,39.0,42.0,45.0,46.0
308,14.0,23.0,29.0,39.0,42.0,45.0,46.0,50.0
309,23.0,29.0,39.0,42.0,45.0,46.0,50.0,50.0
310,29.0,39.0,42.0,45.0,46.0,50.0,50.0,101.0
311,97.0,83.0,81.0,93.0,91.0,98.0,91.0,100.0
312,83.0,81.0,93.0,91.0,98.0,91.0,100.0,101.0
313,92.0,75.0,75.0,79.0,77.0,77.0,73.0,71.0
314,75.0,75.0,79.0,77.0,77.0,73.0,71.0,73.0
315,75.0,79.0,77.0,77.0,73.0,71.0,73.0,76.0
316,79.0,77.0,77.0,73.0,71.0,73.0,76.0,81.0
317,77.0,77.0,73.0,71.0,73.0,76.0,81.0,86.0
318,77.0,73.0,71.0,73.0,76.0,81.0,86.0,87.0
319,73.0,71.0,73.0,76.0,81.0,86.0,87.0,93.0
320,71.0,73.0,76.0,81.0,86.0,87.0,93.0,101.0
321,70.0,61.0,55.0,52.0,46.0,45.0,34.0,36.0
322,61.0,55.0,52.0,46.0,45.0,34.0,36.0,36.0
323,55.0,52.0,46.0,45.0,34.0,36.0,36.0,35.0
324,52.0,46.0,45.0,34.0,36.0,36.0,35.0,35.0
325,46.0,45.0,34.0,36.0,36.0,35.0,35.0,35.0
326,45.0,34.0,36.0,36.0,35.0,35.0,35.0,35.0
327,34.0,36.0,36.0,35.0,35.0,35.0,35.0,33.0
328,36.0,36.0,35.0,35.0,35.0,35.0,33.0,28.0
329,36.0,35.0,35.0,35.0,35.0,33.0,28.0,31.0
330,35.0,35.0,35.0,35.0,33.0,28.0,31.0,32.0
331,35.0,35.0,35.0,33.0,28.0,31.0,32.0,35.0
332,35.0,35.0,33.0,28.0,31.0,32.0,35.0,37.0
333,35.0,33.0,28.0,31.0,32.0,35.0,37.0,41.0
334,33.0,28.0,31.0,32.0,35.0,37.0,41.0,47.0
335,28.0,31.0,32.0,35.0,37.0,41.0,47.0,49.0
336,31.0,32.0,35.0,37.0,41.0,47.0,49.0,101.0
337,89.0,79.0,67.0,57.0,47.0,43.0,36.0,35.0
338,79.0,67.0,57.0,47.0,43.0,36.0,35.0,36.0
339,67.0,57.0,47.0,43.0,36.0,35.0,36.0,36.0
340,57.0,47.0,43.0,36.0,35.0,36.0,36.0,32.0
341,47.0,43.0,36.0,35.0,36.0,36.0,32.0,28.0
342,43.0,36.0,35.0,36.0,36.0,32.0,28.0,28.0
343,36.0,35.0,36.0,36.0,32.0,28.0,28.0,25.0
344,35.0,36.0,36.0,32.0,28.0,28.0,25.0,21.0
345,36.0,36.0,32.0,28.0,28.0,25.0,21.0,18.0
346,36.0,32.0,28.0,28.0,25.0,21.0,18.0,18.0
347,32.0,28.0,28.0,25.0,21.0,18.0,18.0,14.0
348,28.0,28.0,25.0,21.0,18.0,18.0,14.0,13.0
349,28.0,25.0,21.0,18.0,18.0,14.0,13.0,11.0
350,25.0,21.0,18.0,18.0,14.0,13.0,11.0,11.0
351,21.0,18.0,18.0,14.0,13.0,11.0,11.0,12.0
352,18.0,18.0,14.0,13.0,11.0,11.0,12.0,12.0
353,18.0,14.0,13.0,11.0,11.0,12.0,12.0,12.0
354,14.0,13.0,11.0,11.0,12.0,12.0,12.0,13.0
355,13.0,11.0,11.0,12.0,12.0,12.0,13.0,15.0
356,11.0,11.0,12.0,12.0,12.0,13.0,15.0,15.0
357,11.0,12.0,12.0,12.0,13.0,15.0,15.0,15.0
358,12.0,12.0,12.0,13.0,15.0,15.0,15.0,15.0
359,12.0,12.0,13.0,15.0,15.0,15.0,15.0,16.0
360,12.0,13.0,15.0,15.0,15.0,15.0,16.0,19.0
361,13.0,15.0,15.0,15.0,15.0,16.0,19.0,21.0
362,15.0,15.0,15.0,15.0,16.0,19.0,21.0,26.0
363,15.0,15.0,15.0,16.0,19.0,21.0,26.0,22.0
364,15.0,15.0,16.0,19.0,21.0,26.0,22.0,26.0
