,diff_0,diff_1,diff_2,target
289,90.0,86.0,87.0,81.0
290,86.0,87.0,81.0,81.0
291,87.0,81.0,81.0,96.0
292,81.0,81.0,96.0,101.0
293,62.0,30.0,25.0,20.0
294,30.0,25.0,20.0,14.0
295,25.0,20.0,14.0,11.0
296,20.0,14.0,11.0,12.0
297,14.0,11.0,12.0,15.0
298,11.0,12.0,15.0,11.0
299,12.0,15.0,11.0,11.0
300,15.0,11.0,11.0,10.0
301,11.0,11.0,10.0,10.0
302,11.0,10.0,10.0,13.0
303,10.0,10.0,13.0,16.0
304,10.0,13.0,16.0,22.0
305,13.0,16.0,22.0,29.0
306,16.0,22.0,29.0,40.0
307,22.0,29.0,40.0,55.0
308,29.0,40.0,55.0,76.0
309,40.0,55.0,76.0,83.0
310,55.0,76.0,83.0,101.0
311,94.0,73.0,66.0,56.0
312,73.0,66.0,56.0,48.0
313,66.0,56.0,48.0,40.0
314,56.0,48.0,40.0,37.0
315,48.0,40.0,37.0,34.0
316,40.0,37.0,34.0,37.0
317,37.0,34.0,37.0,36.0
318,34.0,37.0,36.0,33.0
319,37.0,36.0,33.0,40.0
320,36.0,33.0,40.0,51.0
321,33.0,40.0,51.0,59.0
322,40.0,51.0,59.0,71.0
323,51.0,59.0,71.0,77.0
324,59.0,71.0,77.0,83.0
325,71.0,77.0,83.0,85.0
326,77.0,83.0,85.0,93.0
327,83.0,85.0,93.0,90.0
328,85.0,93.0,90.0,101.0
329,98.0,92.0,83.0,71.0
330,92.0,83.0,71.0,54.0
331,83.0,71.0,54.0,52.0
332,71.0,54.0,52.0,34.0
333,54.0,52.0,34.0,32.0
334,52.0,34.0,32.0,31.0
335,34.0,32.0,31.0,30.0
336,32.0,31.0,30.0,26.0
337,31.0,30.0,26.0,30.0
338,30.0,26.0,30.0,28.0
339,26.0,30.0,28.0,24.0
340,30.0,28.0,24.0,20.0
341,28.0,24.0,20.0,21.0
342,24.0,20.0,21.0,24.0
343,20.0,21.0,24.0,24.0
344,21.0,24.0,24.0,28.0
345,24.0,24.0,28.0,44.0
346,24.0,28.0,44.0,101.0
347,9.0,11.0,17.0,12.0
348,11.0,17.0,12.0,11.0
349,17.0,12.0,11.0,14.0
350,12.0,11.0,14.0,17.0
351,11.0,14.0,17.0,18.0
352,14.0,17.0,18.0,16.0
353,17.0,18.0,16.0,20.0
354,18.0,16.0,20.0,28.0
355,16.0,20.0,28.0,24.0
356,20.0,28.0,24.0,21.0
357,28.0,24.0,21.0,28.0
358,24.0,21.0,28.0,30.0
359,21.0,28.0,30.0,32.0
360,28.0,30.0,32.0,32.0
361,30.0,32.0,32.0,33.0
362,32.0,32.0,33.0,34.0
363,32.0,33.0,34.0,35.0
364,33.0,34.0,35.0,44.0
365,34.0,35.0,44.0,101.0
366,34.0,19.0,18.0,18.0
367,19.0,18.0,18.0,16.0
368,18.0,18.0,16.0,17.0
369,18.0,16.0,17.0,13.0
370,16.0,17.0,13.0,8.0
371,17.0,13.0,8.0,7.0
372,13.0,8.0,7.0,8.0
373,8.0,7.0,8.0,8.0
374,7.0,8.0,8.0,7.0
375,8.0,8.0,7.0,6.0
376,8.0,7.0,6.0,5.0
377,7.0,6.0,5.0,5.0
378,6.0,5.0,5.0,4.0
379,5.0,5.0,4.0,6.0
380,5.0,4.0,6.0,8.0
381,4.0,6.0,8.0,9.0
382,6.0,8.0,9.0,7.0
383,8.0,9.0,7.0,8.0
384,9.0,7.0,8.0,9.0
385,7.0,8.0,9.0,11.0
386,8.0,9.0,11.0,11.0
387,9.0,11.0,11.0,11.0
388,11.0,11.0,11.0,14.0
389,11.0,11.0,14.0,12.0
390,11.0,14.0,12.0,18.0
391,14.0,12.0,18.0,18.0
392,12.0,18.0,18.0,20.0
393,18.0,18.0,20.0,28.0
394,18.0,20.0,28.0,31.0
395,20.0,28.0,31.0,31.0
396,28.0,31.0,31.0,34.0
397,31.0,31.0,34.0,30.0
398,31.0,34.0,30.0,35.0
